Module ID,Module Name,Section ID,Section Label,Section Group,Features Summary
platform,Platform,authentication,Authentication,Platform,"Email/password login, first-time admin setup, forgot password, session timeout, auth repair"
platform,Platform,access-control,Access control,Platform,"RBAC modules, actions, field permissions, section access"
platform,Platform,workspace,Workspace,Platform,"Module launcher, sidebar, search, themes, PWA"
platform,Platform,data,Data,Platform,"PostgreSQL JSONB, backup/restore, audit trail"
platform,Platform,documents,Documents,Platform,"PDF print/email, document templates, branding"
sales,Sales & CRM,dashboard,Dashboard,Overview,"KPIs, work queues, approvals, follow-up alerts"
sales,Sales & CRM,customers,Customers,Sales & CRM,"Customer master, 360 view, GSTIN/PAN, PIN auto-fill"
sales,Sales & CRM,enquiries,Enquiries,Sales & CRM,"RFQ capture, assignment, convert to quotation"
sales,Sales & CRM,leads,Leads,Sales & CRM,"Lead pipeline, stages, conversion"
sales,Sales & CRM,followups,Follow-ups,Sales & CRM,"Due/overdue alerts, call/email scheduling"
sales,Sales & CRM,commcenter,Comm. Center,Sales & CRM,"Unified inbox, email, WhatsApp"
sales,Sales & CRM,approvals,Approval Center,Sales & CRM,"Discount and SO revision approvals"
sales,Sales & CRM,quotations,Quotations,Sales & CRM,"Quote builder, PDF, portal share, convert to SO"
sales,Sales & CRM,proformas,Proforma Invoice,Sales & CRM,"Proforma from quote/SO, PDF"
sales,Sales & CRM,invoices,Tax Invoices,Sales & CRM,"Domestic/export invoice, e-invoice fields, multi-copy"
sales,Sales & CRM,orders,Sales Orders,Sales & CRM,"SO builder, revision control, push to production"
sales,Sales & CRM,tracking,Order Tracking,Sales & CRM,"Live SO stage pipeline"
sales,Sales & CRM,intelligence,AI Intelligence,Intelligence,"Order planning, risk prediction"
sales,Sales & CRM,analytics,Analytics,Reports,"Funnel, win/loss, territory analytics"
sales,Sales & CRM,forecast,Forecasting,Intelligence,"Revenue forecast, profitability"
inventory,Inventory Management,items,Item Master,Inventory,"SKU engine, HSN, reorder, duplicate check"
inventory,Inventory Management,receipt,Material Receipt,Inventory,"GRN, stock ledger posting"
inventory,Inventory Management,issue,Material Issue,Inventory,"Issue to production, ledger"
inventory,Inventory Management,ledger,Stock Ledger,Inventory,"Movement history, on-hand"
inventory,Inventory Management,bom,Bill of Materials,Masters,"BOM register, revision, explode"
inventory,Inventory Management,transfer,Stock Transfer,Operations,"Inter-location transfer"
inventory,Inventory Management,physical,Physical Verification,Operations,"Cycle count, variance"
purchase,Purchase Management,requests,Purchase Request,Procurement,"Internal PR, approval"
purchase,Purchase Management,rfq,RFQ,Procurement,"Vendor RFQ"
purchase,Purchase Management,orders,Purchase Order,Procurement,"PO builder, GRN link"
purchase,Purchase Management,grn,GRN / Receipt,Procurement,"Goods receipt, stock post"
production,Production Planning,orders,Work Orders,Shop Floor,"WO preview, SO revision sync, accept revision"
production,Production Planning,shop,Shop Floor,Shop Floor,"Line-wise WO status"
production,Production Planning,bom,BOM Register,Planning,"BOM attach, WO-specific BOM"
production,Production Planning,mrp,Material Requirements,Planning,"MRP explode, plan materials"
quality,Quality Control,inspections,Incoming Inspection,Inspection,"GRN-linked QC"
quality,Quality Control,final-qc,Final QC,Inspection,"Finished goods QC"
quality,Quality Control,ncr,Rejection,Rejection,"NCR register"
dispatch,Dispatch & Logistics,shipments,Shipments,Dispatch,"Create from SO, challan"
dispatch,Dispatch & Logistics,delivery,Delivery,Dispatch,"POD, tracking"
accounts,Accounts & Finance,receivables,Receivables,Finance,"Customer outstanding, aging"
accounts,Accounts & Finance,payments,Payments,Finance,"Payment against invoices"
hr,HR & Payroll,employees,Employees,People,"Employee master, documents"
hr,HR & Payroll,leave,Leave,People,"Leave workflow"
hr,HR & Payroll,payroll,Payroll,Payroll,"Payroll run, salary slips"
attendance,Attendance,register,Monthly Register,Attendance,"Present/leave/OT register"
admin,Admin Control Panel,users,Users,Access,"Login accounts, password, sessions"
admin,Admin Control Panel,roles,Roles,Access,"Custom roles, module access"
admin,Admin Control Panel,security,Security,System,"Password policy, auth repair"
admin,Admin Control Panel,backup,Backup & Restore,System,"Snapshots, restore"
admin,Admin Control Panel,audit,Audit Trail,System,"Permanent change log"
admin,Admin Control Panel,templates,Document Templates,Documents,"PDF template designer"
